date,precip
1970-01-01,14
1970-02-01,7
1970-03-01,23
1970-04-01,20
1970-05-01,24
1970-06-01,31
1970-07-01,61
1970-08-01,65
1970-09-01,103
1970-10-01,22
1970-11-01,4
1970-12-01,17
1971-01-01,27
1971-02-01,31
1971-03-01,9
1971-04-01,28
1971-05-01,19
1971-06-01,96
1971-07-01,89
1971-08-01,86
1971-09-01,55
1971-10-01,20
1971-11-01,33
1971-12-01,19
1972-01-01,5
1972-02-01,9
1972-03-01,19
1972-04-01,22
1972-05-01,16
1972-06-01,26
1972-07-01,NA
1972-08-01,NA
1972-09-01,NA
1972-10-01,NA
1972-11-01,NA
1972-12-01,NA
1973-01-01,21
1973-02-01,NA
1973-03-01,0.8
1973-04-01,NA
1973-05-01,41
1973-06-01,4
1973-07-01,3
1973-08-01,22
1973-09-01,8
1973-10-01,1
1973-11-01,9
1973-12-01,13
1974-01-01,25
1974-02-01,19
1974-03-01,0
1974-04-01,4
1974-05-01,13
1974-06-01,67
1974-07-01,97
1974-08-01,32
1974-09-01,83
1974-10-01,45
1974-11-01,23
1974-12-01,40
1975-01-01,28
1975-02-01,16
1975-03-01,9
1975-04-01,38
1975-05-01,54
1975-06-01,49
1975-07-01,106
1975-08-01,21
1975-09-01,81
1975-10-01,44
1975-11-01,14
1975-12-01,56
1976-01-01,29
1976-02-01,19
1976-03-01,24
1976-04-01,20
1976-05-01,11
1976-06-01,33
1976-07-01,59
1976-08-01,50
1976-09-01,39
1976-10-01,12
1976-11-01,26
1976-12-01,20
1977-01-01,10
1977-02-01,9
1977-03-01,14
1977-04-01,6
1977-05-01,66
1977-06-01,87
1977-07-01,59
1977-08-01,49
1977-09-01,34
1977-10-01,40
1977-11-01,42
1977-12-01,20
1978-01-01,31
1978-02-01,22
1978-03-01,13
1978-04-01,29
1978-05-01,10
1978-06-01,40
1978-07-01,80
1978-08-01,77
1978-09-01,44
1978-10-01,58
1978-11-01,15
1978-12-01,17
1979-01-01,17
1979-02-01,18
1979-03-01,18
1979-04-01,23
1979-05-01,62
1979-06-01,50
1979-07-01,42
1979-08-01,62
1979-09-01,64
1979-10-01,34
1979-11-01,23
1979-12-01,20
1980-01-01,27
1980-02-01,7
1980-03-01,46
1980-04-01,16
1980-05-01,39
1980-06-01,22
1980-07-01,6
1980-08-01,67
1980-09-01,31
1980-10-01,59
1980-11-01,27
1980-12-01,31
1981-01-01,65
1981-02-01,11
1981-03-01,25
1981-04-01,16
1981-05-01,13
1981-06-01,113
1981-07-01,49
1981-08-01,87
1981-09-01,32
1981-10-01,48
1981-11-01,34
1981-12-01,31
1982-01-01,14
1982-02-01,13
1982-03-01,22
1982-04-01,39
1982-05-01,49
1982-06-01,73
1982-07-01,77
1982-08-01,40
1982-09-01,35
1982-10-01,31
1982-11-01,46
1982-12-01,16
1983-01-01,35
1983-02-01,9
1983-03-01,26
1983-04-01,12
1983-05-01,53
1983-06-01,40
1983-07-01,76
1983-08-01,41
1983-09-01,31
1983-10-01,63
1983-11-01,37
1983-12-01,26
1984-01-01,61
1984-02-01,22
1984-03-01,21
1984-04-01,19
1984-05-01,29
1984-06-01,42
1984-07-01,159
1984-08-01,36
1984-09-01,10
1984-10-01,47
1984-11-01,39
1984-12-01,27
1985-01-01,0.9
1985-02-01,6
1985-03-01,11
1985-04-01,12
1985-05-01,20
1985-06-01,9
1985-07-01,87
1985-08-01,50
1985-09-01,35
1985-10-01,29
1985-11-01,22
1985-12-01,5
1986-01-01,5
1986-02-01,NA
1986-03-01,9
1986-04-01,17
1986-05-01,15
1986-06-01,NA
1986-07-01,95
1986-08-01,6
1986-09-01,12
1986-10-01,23
1986-11-01,24
1986-12-01,10
1987-01-01,0
1987-02-01,11
1987-03-01,16
1987-04-01,6
1987-05-01,19
1987-06-01,60
1987-07-01,31
1987-08-01,29
1987-09-01,48
1987-10-01,11
1987-11-01,12
1987-12-01,15
1988-01-01,14
1988-02-01,125
1988-03-01,15
1988-04-01,91
1988-05-01,24
1988-06-01,32
1988-07-01,49
1988-08-01,104
1988-09-01,41
1988-10-01,34
1988-11-01,16
1988-12-01,15
1989-01-01,26
1989-02-01,29
1989-03-01,73
1989-04-01,11
1989-05-01,32
1989-06-01,74
1989-07-01,141
1989-08-01,19
1989-09-01,28
1989-10-01,15
1989-11-01,39
1989-12-01,20
1990-01-01,16
1990-02-01,22
1990-03-01,13
1990-04-01,15
1990-05-01,23
1990-06-01,41
1990-07-01,69
1990-08-01,50
1990-09-01,14
1990-10-01,9
1990-11-01,28
1990-12-01,212
1991-01-01,136
1991-02-01,10
1991-03-01,18
1991-04-01,2
1991-05-01,41
1991-06-01,47
1991-07-01,28
1991-08-01,27
1991-09-01,92
1991-10-01,127
1991-11-01,52
1991-12-01,23
1992-01-01,20
1992-02-01,25
1992-03-01,36
1992-04-01,7
1992-05-01,135
1992-06-01,26
1992-07-01,75
1992-08-01,111
1992-09-01,163
1992-10-01,9
1992-11-01,13
1992-12-01,49
1993-01-01,10
1993-02-01,8
1993-03-01,16
1993-04-01,14
1993-05-01,142
1993-06-01,50
1993-07-01,54
1993-08-01,52
1993-09-01,9
1993-10-01,20
1993-11-01,4
1993-12-01,15
1994-01-01,20
1994-02-01,10
1994-03-01,13
1994-04-01,106
1994-05-01,9
1994-06-01,52
1994-07-01,33
1994-08-01,32
1994-09-01,NA
1994-10-01,NA
1994-11-01,NA
1994-12-01,NA
1995-01-01,NA
1995-02-01,NA
1995-03-01,NA
1995-04-01,NA
1995-05-01,NA
1995-06-01,NA
1995-07-01,NA
1995-08-01,NA
1995-09-01,NA
1995-10-01,19
1995-11-01,22
1995-12-01,99
1996-01-01,1
1996-02-01,9
1996-03-01,5
1996-04-01,11
1996-05-01,21
1996-06-01,12
1996-07-01,19
1996-08-01,4
1996-09-01,12
1996-10-01,9
1996-11-01,35
1996-12-01,12
1997-01-01,7
1997-02-01,19
1997-03-01,7
1997-04-01,4
1997-05-01,10
1997-06-01,5
1997-07-01,9
1997-08-01,NA
1997-09-01,24
1997-10-01,11
1997-11-01,11
1997-12-01,2
1998-01-01,11
1998-02-01,11
1998-03-01,14
1998-04-01,13
1998-05-01,30
1998-06-01,26
1998-07-01,13
1998-08-01,NA
1998-09-01,NA
1998-10-01,NA
1998-11-01,NA
1998-12-01,NA
1999-01-01,NA
1999-02-01,NA
1999-03-01,NA
1999-04-01,6
1999-05-01,NA
1999-06-01,NA
1999-07-01,NA
1999-08-01,NA
1999-09-01,NA
1999-10-01,NA
1999-11-01,NA
1999-12-01,NA
2000-01-01,NA
2000-02-01,NA
2000-03-01,27
2000-04-01,74
2000-05-01,30
2000-06-01,75
2000-07-01,40
2000-08-01,66
2000-09-01,34
2000-10-01,41
2000-11-01,42
2000-12-01,27
2001-01-01,15
2001-02-01,26
2001-03-01,21
2001-04-01,63
2001-05-01,20
2001-06-01,21
2001-07-01,84
2001-08-01,32
2001-09-01,8
2001-10-01,57
2001-11-01,19
2001-12-01,14
2002-01-01,26
2002-02-01,52
2002-03-01,24
2002-04-01,43
2002-05-01,15
2002-06-01,70
2002-07-01,98
2002-08-01,41
2002-09-01,52
2002-10-01,23
2002-11-01,21
2002-12-01,12
2003-01-01,44
2003-02-01,21
2003-03-01,25
2003-04-01,5
2003-05-01,72
2003-06-01,19
2003-07-01,41
2003-08-01,75
2003-09-01,53
2003-10-01,67
2003-11-01,27
2003-12-01,51
2004-01-01,29
2004-02-01,44
2004-03-01,19
2004-04-01,29
2004-05-01,42
2004-06-01,NA
2004-07-01,NA
2004-08-01,NA
2004-09-01,NA
2004-10-01,NA
2004-11-01,NA
2004-12-01,NA
2005-01-01,NA
2005-02-01,18
2005-03-01,10
2005-04-01,28
2005-05-01,56
2005-06-01,28
2005-07-01,54
2005-08-01,71
2005-09-01,106
2005-10-01,39
2005-11-01,46
2005-12-01,41
2006-01-01,47
2006-02-01,11
2006-03-01,12
2006-04-01,35
2006-05-01,48
2006-06-01,61
2006-07-01,93
2006-08-01,18
2006-09-01,89
2006-10-01,50
2006-11-01,37
2006-12-01,46
2007-01-01,36
2007-02-01,10
2007-03-01,24
2007-04-01,32
2007-05-01,36
2007-06-01,98
2007-07-01,141
2007-08-01,64
2007-09-01,80
2007-10-01,29
2007-11-01,34
2007-12-01,39
2008-01-01,39
2008-02-01,17
2008-03-01,31
2008-04-01,15
2008-05-01,24
2008-06-01,33
2008-07-01,98
2008-08-01,54
2008-09-01,32
2008-10-01,62
2008-11-01,45
2008-12-01,49
2009-01-01,30
2009-02-01,27
2009-03-01,9
2009-04-01,17
2009-05-01,48
2009-06-01,49
2009-07-01,82
2009-08-01,61
2009-09-01,56
2009-10-01,18
2009-11-01,35
2009-12-01,34
2010-01-01,6
2010-02-01,46
2010-03-01,50
2010-04-01,17
2010-05-01,65
2010-06-01,49
2010-07-01,76
2010-08-01,70
2010-09-01,64
2010-10-01,68
2010-11-01,18
2010-12-01,12
2011-01-01,37
2011-02-01,14
2011-03-01,22
2011-04-01,19
2011-05-01,45
2011-06-01,37
2011-07-01,134
2011-08-01,100
2011-09-01,14
2011-10-01,76
2011-11-01,35
2011-12-01,54
2012-01-01,25
2012-02-01,44
2012-03-01,32
2012-04-01,31
2012-05-01,43
2012-06-01,75
2012-07-01,80
2012-08-01,42
2012-09-01,84
2012-10-01,56
2012-11-01,66
2012-12-01,36
2013-01-01,25
2013-02-01,21
2013-03-01,11
2013-04-01,33
2013-05-01,17
2013-06-01,62
2013-07-01,71
2013-08-01,25
2013-09-01,32
2013-10-01,56
2013-11-01,42
2013-12-01,45
2014-01-01,25
2014-02-01,26
2014-03-01,23
2014-04-01,26
2014-05-01,31
2014-06-01,81
2014-07-01,34
2014-08-01,62
2014-09-01,46
2014-10-01,29
2014-11-01,20
2014-12-01,54
2015-01-01,30
2015-02-01,24
2015-03-01,29
2015-04-01,32
2015-05-01,48
2015-06-01,124
2015-07-01,51
2015-08-01,66
2015-09-01,44
2015-10-01,45
2015-11-01,29
2015-12-01,39
2016-01-01,34
2016-02-01,50
2016-03-01,10
2016-04-01,41
2016-05-01,27
2016-06-01,50
2016-07-01,88
2016-08-01,109
2016-09-01,64
2016-10-01,9
2016-11-01,28
2016-12-01,42
2017-01-01,60
2017-02-01,26
2017-03-01,45
2017-04-01,21
2017-05-01,29
2017-06-01,74
2017-07-01,44
2017-08-01,99
2017-09-01,48
2017-10-01,49
2017-11-01,39
2017-12-01,48
2018-01-01,36
2018-02-01,10
2018-03-01,14
2018-04-01,24
2018-05-01,23
2018-06-01,75
2018-07-01,37
2018-08-01,67
2018-09-01,48
2018-10-01,25
2018-11-01,33
2018-12-01,26
2019-01-01,47
2019-02-01,50
2019-03-01,43
2019-04-01,8
2019-05-01,37
2019-06-01,109
2019-07-01,42
2019-08-01,42
2019-09-01,47
2019-10-01,53
2019-11-01,40
2019-12-01,77
2020-01-01,39
2020-02-01,64
2020-03-01,47
2020-04-01,26
2020-05-01,43
2020-06-01,22
2020-07-01,64
2020-08-01,92
2020-09-01,45
2020-10-01,61
2020-11-01,60
2020-12-01,22
2021-01-01,35
2021-02-01,19
2021-03-01,20
2021-04-01,56
2021-05-01,44
2021-06-01,89
2021-07-01,26
2021-08-01,121
2021-09-01,39
2021-10-01,78
2021-11-01,35
2021-12-01,29
